z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio,run_time,index
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,7.7982330322265625,0.05
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,7.047255754470825,0.09736842105263158
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,7.0903160572052,0.14473684210526316
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,6.683376789093018,0.19210526315789472
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,6.0185792446136475,0.23947368421052628
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,5.925796985626221,0.28684210526315784
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,6.088244915008545,0.33421052631578946
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,5.58935809135437,0.381578947368421
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,5.076664209365845,0.4289473684210526
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,5.152998208999634,0.47631578947368414
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,5.344785928726196,0.5236842105263158
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,4.726079940795898,0.5710526315789474
0.0,6345655.0,5.98032e+24,8.319725e-05,0.1111111,3.7496e-10,4.721259117126465,0.618421052631579
0.0,6345655.0,5.980502e+24,8.319725e-05,0.1111111,3.7496e-10,4.0928850173950195,0.6657894736842105
0.0,6345655.0,5.982118e+24,8.319725e-05,0.1111111,3.7496e-10,3.6887030601501465,0.7131578947368421
0.0,6345655.0,5.984327e+24,8.319725e-05,0.1111111,3.7496e-10,3.4844868183135986,0.7605263157894736
0.0,6345655.0,5.984596e+24,8.319725e-05,0.1111111,3.7496e-10,3.5023341178894043,0.8078947368421052
0.0,6345655.0,5.978023e+24,8.319725e-05,0.1111111,3.7496e-10,3.0483298301696777,0.8552631578947368
0.0,6345655.0,5.974378e+24,8.319725e-05,0.1111111,3.7496e-10,2.9328339099884033,0.9026315789473683
0.0,6345655.0,5.974206e+24,8.319725e-05,0.1111111,3.7496e-10,3.2000279426574707,0.95
